building_code,room_code,type_name,name,asset_code,serial_number,installed_at,note
RT-B1,R1202,ไมค์สาย,ไมค์สาย 1,NBU3-52,52,23/2/2026,
RT-B1,R1202,ลำโพง,ลำโพง,NBU3-53,53,23/2/2026,
RT-B1,R1202,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-54,54,23/2/2026,
RT-B1,R1203,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-55,55,23/2/2026,
RT-B1,R1203,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-56,56,23/2/2026,
RT-B1,R1203,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-57,57,23/2/2026,
RT-B1,R1203,ไมค์สาย,ไมค์สาย 1,NBU3-58,58,23/2/2026,
RT-B1,R1203,ลำโพง,ลำโพง,NBU3-59,59,23/2/2026,
RT-B1,R1203,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-60,60,23/2/2026,
RT-B1,R1204,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-61,61,23/2/2026,
RT-B1,R1204,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-62,62,23/2/2026,
RT-B1,R1204,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-63,63,23/2/2026,
RT-B1,R1204,ไมค์สาย,ไมค์สาย 1,NBU3-64,64,23/2/2026,
RT-B1,R1204,ลำโพง,ลำโพง,NBU3-65,65,23/2/2026,
RT-B1,R1204,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-66,66,23/2/2026,
RT-B1,R1205,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-67,67,23/2/2026,
RT-B1,R1205,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-68,68,23/2/2026,
RT-B1,R1205,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-69,69,23/2/2026,
RT-B1,R1205,ไมค์สาย,ไมค์สาย 1,NBU3-70,70,23/2/2026,
RT-B1,R1205,ลำโพง,ลำโพง,NBU3-71,71,23/2/2026,
RT-B1,R1205,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-72,72,23/2/2026,
RT-B1,R1302,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-73,73,23/2/2026,
RT-B1,R1302,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-74,74,23/2/2026,
RT-B1,R1302,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-75,75,23/2/2026,
RT-B1,R1302,ไมค์สาย,ไมค์สาย 1,NBU3-76,76,23/2/2026,
RT-B1,R1302,ลำโพง,ลำโพง,NBU3-77,77,23/2/2026,
RT-B1,R1302,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-78,78,23/2/2026,
RT-B1,R1303,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-79,79,23/2/2026,
RT-B1,R1303,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-80,80,23/2/2026,
RT-B1,R1303,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-81,81,23/2/2026,
RT-B1,R1303,ไมค์สาย,ไมค์สาย 1,NBU3-82,82,23/2/2026,
RT-B1,R1303,ลำโพง,ลำโพง,NBU3-83,83,23/2/2026,
RT-B1,R1303,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-84,84,23/2/2026,
RT-B1,R1304,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-85,85,23/2/2026,
RT-B1,R1304,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-86,86,23/2/2026,
RT-B1,R1304,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-87,87,23/2/2026,
RT-B1,R1304,ไมค์สาย,ไมค์สาย 1,NBU3-88,88,23/2/2026,
RT-B1,R1304,ลำโพง,ลำโพง,NBU3-89,89,23/2/2026,
